Number,City,Gender,Age,Income,Illness
1,Dallas,Male,41,40367,No
2,Dallas,Male,54,45084,No
3,Dallas,Male,42,52483,No
4,Dallas,Male,40,40941,No
5,Dallas,Male,46,50289,No
6,Dallas,Female,36,50786,No
7,Dallas,Female,32,33155,No
8,Dallas,Male,39,30914,No
9,Dallas,Male,51,68667,No
46,Dallas,Female,30,40661,No
47,Dallas,Male,51,53730,No
48,Dallas,Female,45,34613,No
49,Dallas,Female,38,35249,No
50,Dallas,Female,56,52218,No
51,Dallas,Female,55,47702,No
52,Dallas,Male,42,62512,No
53,Dallas,Female,58,48655,No
54,Dallas,Male,57,55133,No
119,Dallas,Female,54,56868,No
120,Dallas,Male,46,46954,No
121,Dallas,Male,43,64376,Yes
122,Dallas,Male,38,35911,No
123,Dallas,Female,28,48836,No
124,Dallas,Male,62,62174,No
125,Dallas,Female,62,46385,No
126,Dallas,Female,32,52215,No
127,Dallas,Male,45,36702,No
128,Dallas,Female,31,36979,No
129,Dallas,Male,37,58357,No
130,Dallas,Male,44,59426,No
131,Dallas,Female,59,48994,No
132,Dallas,Male,37,61390,No
133,Dallas,Female,35,49629,No
134,Dallas,Female,65,33676,No
135,Dallas,Female,40,45797,No
136,Dallas,Male,59,45130,Yes
137,Dallas,Male,56,43573,No
138,Dallas,Female,56,57028,No
139,Dallas,Male,53,68679,No
140,Dallas,Male,45,51435,No
141,Dallas,Male,60,48559,No
142,Dallas,Female,53,38692,Yes
143,Dallas,Female,37,46382,No
144,Dallas,Female,40,48550,No
145,Dallas,Female,56,59945,No
146,Dallas,Female,28,51127,No
147,Dallas,Male,42,26301,No
148,Dallas,Male,60,50057,No
149,Dallas,Female,58,31472,No
150,Dallas,Female,48,42926,No
151,Dallas,Male,37,60150,No
152,Dallas,Male,51,38416,No
153,Dallas,Female,54,43810,No
154,Dallas,Male,63,71551,Yes
155,Dallas,Female,36,25564,Yes
156,Dallas,Female,32,28551,No
157,Dallas,Male,48,45591,No
158,Dallas,Female,51,47559,No
159,Dallas,Male,59,53835,No
160,Dallas,Male,29,55545,No
161,Dallas,Female,27,57903,Yes
162,Dallas,Male,49,63544,No
163,Dallas,Female,54,39273,No
164,Dallas,Female,63,38841,No
165,Dallas,Female,47,48520,No
166,Dallas,Male,55,54849,No
167,Dallas,Male,45,50114,No
168,Dallas,Female,43,36894,No
169,Dallas,Male,25,42719,No
170,Dallas,Female,56,47347,No
171,Dallas,Female,54,35471,No
172,Dallas,Male,40,60636,No
173,Dallas,Female,28,48996,No
174,Dallas,Female,44,39808,No
175,Dallas,Male,47,45383,No
176,Dallas,Male,25,43413,No
177,Dallas,Female,65,50311,No
178,Dallas,Female,38,45187,No
179,Dallas,Male,54,60128,No
180,Dallas,Male,64,55066,Yes
181,Dallas,Female,38,41409,No
182,Dallas,Male,51,48899,No
183,Dallas,Female,28,32130,No
184,Dallas,Male,50,59841,No
185,Dallas,Male,47,40709,No
186,Dallas,Female,41,25012,No
187,Dallas,Male,28,40712,No
188,Dallas,Female,44,36038,No
189,Dallas,Female,56,47102,No
190,Dallas,Male,30,63365,No
191,Dallas,Male,64,22134,No
192,Dallas,Male,34,40684,No
193,Dallas,Male,52,51919,No
194,Dallas,Female,54,40526,No
195,Dallas,Male,52,48386,No
196,Dallas,Male,32,46196,No
197,Dallas,Male,51,44816,No
198,Dallas,Male,45,63285,No
199,Dallas,Female,58,19643,No
302,Dallas,Male,56,51483,No
303,Dallas,Male,34,45927,No
304,Dallas,Male,32,67322,No
305,Dallas,Male,57,37703,No
306,Dallas,Female,62,64697,No
307,Dallas,Male,61,44898,No
308,Dallas,Female,37,34153,No
309,Dallas,Male,36,57350,No
310,Dallas,Male,50,46617,No
311,Dallas,Male,46,34390,No
312,Dallas,Female,34,34927,No
313,Dallas,Male,63,59254,No
314,Dallas,Female,44,49785,No
315,Dallas,Male,44,55387,No
316,Dallas,Male,26,54192,Yes
317,Dallas,Male,50,56941,No
318,Dallas,Female,65,22225,No
319,Dallas,Female,39,33083,No
320,Dallas,Male,37,59340,No
321,Dallas,Male,48,38920,No
322,Dallas,Female,40,25830,No
323,Dallas,Male,25,56736,No
324,Dallas,Male,28,30162,No
325,Dallas,Male,38,56717,No
326,Dallas,Female,44,38410,No
327,Dallas,Male,54,44959,No
328,Dallas,Female,47,28613,No
329,Dallas,Female,42,36723,No
330,Dallas,Female,62,29099,Yes
331,Dallas,Male,50,44166,No
332,Dallas,Female,61,41837,No
333,Dallas,Male,29,57912,No
334,Dallas,Male,63,55613,No
335,Dallas,Male,51,60860,No
336,Dallas,Male,28,67086,No
337,Dallas,Male,45,42938,No
338,Dallas,Male,44,45514,Yes
339,Dallas,Male,36,40552,No
340,Dallas,Female,29,33230,No
341,Dallas,Male,49,59647,No
342,Dallas,Male,44,68651,No
343,Dallas,Male,37,48323,No
344,Dallas,Male,42,42899,No
345,Dallas,Male,30,49882,No
346,Dallas,Male,47,71176,No
347,Dallas,Female,36,36397,Yes
348,Dallas,Female,33,53269,No
349,Dallas,Female,55,37407,No
350,Dallas,Male,39,42427,No
351,Dallas,Male,61,31618,No
352,Dallas,Female,51,31580,No
353,Dallas,Female,35,11926,No
354,Dallas,Female,49,35509,No
355,Dallas,Male,43,58988,Yes
356,Dallas,Male,37,32973,No
357,Dallas,Female,34,27915,No
358,Dallas,Male,51,55640,No
359,Dallas,Female,48,36317,No
360,Dallas,Female,27,53163,No
361,Dallas,Male,62,28695,No
362,Dallas,Female,33,23952,No
363,Dallas,Female,33,31781,No
364,Dallas,Male,50,43563,No
365,Dallas,Female,32,31671,No
366,Dallas,Female,49,42065,No
367,Dallas,Female,59,27436,No
368,Dallas,Female,52,46311,No
369,Dallas,Female,43,45458,No
370,Dallas,Female,44,47435,No
371,Dallas,Male,44,46572,No
372,Dallas,Female,25,46955,No
373,Dallas,Female,36,41171,No
374,Dallas,Female,36,51153,No
375,Dallas,Male,60,56650,No
376,Dallas,Male,61,44592,No
377,Dallas,Female,43,38154,No
378,Dallas,Male,47,58870,No
379,Dallas,Female,63,52706,No
380,Dallas,Male,54,45465,Yes
381,Dallas,Female,48,41742,No
382,Dallas,Male,36,34889,No
383,Dallas,Female,61,50266,No
384,Dallas,Female,30,51144,No
385,Dallas,Male,45,70565,No
386,Dallas,Male,57,34817,No
387,Dallas,Male,61,50642,No
388,Dallas,Female,56,11535,No
389,Dallas,Male,42,65963,No
390,Dallas,Male,37,53465,No
391,Dallas,Female,48,33766,No
392,Dallas,Female,38,47770,No
393,Dallas,Female,54,34871,No
394,Dallas,Female,54,45362,No
395,Dallas,Male,36,52638,No
396,Dallas,Female,36,20029,No
397,Dallas,Male,34,42854,No
398,Dallas,Male,62,49958,Yes
399,Dallas,Male,50,26085,No
400,Dallas,Male,38,43929,No
401,Dallas,Male,42,39999,No
402,Dallas,Male,43,51904,No
403,Dallas,Female,35,26635,No
404,Dallas,Male,42,53418,Yes
405,Dallas,Male,65,54304,No
406,Dallas,Male,39,62155,No
407,Dallas,Female,65,6733,No
408,Dallas,Female,47,26653,No
409,Dallas,Male,27,54812,No
410,Dallas,Female,43,42320,No
411,Dallas,Male,56,62832,No
412,Dallas,Male,62,60311,No
413,Dallas,Female,60,38837,No
19708,New York City,Male,49,112226,No
19709,New York City,Male,42,110534,No
19710,New York City,Female,61,100665,No
19711,New York City,Female,58,98147,Yes
19712,New York City,Female,43,93100,No
19713,New York City,Male,50,88525,No
19714,New York City,Male,38,120288,No
19715,New York City,Female,58,98844,No
19716,New York City,Female,47,92981,No
19717,New York City,Female,39,105036,No
19718,New York City,Female,45,97342,No
19719,New York City,Female,44,97823,No
19720,New York City,Male,30,80763,No
19721,New York City,Female,54,101942,No
19722,New York City,Male,62,97281,No
19723,New York City,Female,28,85933,Yes
19724,New York City,Male,60,106042,No
19725,New York City,Male,33,101792,No
19726,New York City,Female,26,97946,No
19727,New York City,Male,64,104560,No
19728,New York City,Female,59,90859,No
19729,New York City,Male,33,94370,Yes
19730,New York City,Female,48,89437,Yes
19731,New York City,Female,41,77154,No
19732,New York City,Female,54,86657,No
19733,New York City,Male,29,110286,Yes
19734,New York City,Male,62,112269,No
19735,New York City,Female,37,112233,No
19736,New York City,Female,31,105756,No
19737,New York City,Male,30,104221,No
19738,New York City,Male,43,102176,No
19739,New York City,Male,61,104547,No
19740,New York City,Female,39,116966,No
19741,New York City,Male,56,108890,No
19742,New York City,Female,48,82550,No
19743,New York City,Male,34,89143,No
19744,New York City,Male,63,104898,No
19745,New York City,Male,31,110148,No
19746,New York City,Male,38,83788,No
19747,New York City,Female,48,93299,No
19748,New York City,Female,48,102138,No
19749,New York City,Female,29,86981,No
19750,New York City,Male,50,105818,No
19751,New York City,Female,42,77589,No
19752,New York City,Female,40,94525,No
19753,New York City,Male,41,93053,No
19754,New York City,Male,28,115284,Yes
19755,New York City,Female,32,103291,No
19756,New York City,Male,60,108215,No
19757,New York City,Female,30,85906,No
19758,New York City,Female,62,109589,No
19759,New York City,Male,33,121024,No
19760,New York City,Female,63,99050,No
19761,New York City,Male,51,119493,No
19762,New York City,Female,38,93411,No
19763,New York City,Male,58,97107,No
19764,New York City,Female,34,105684,Yes
19765,New York City,Male,44,103045,No
19766,New York City,Male,51,98363,Yes
19767,New York City,Female,50,98037,No
19768,New York City,Male,56,96386,No
19769,New York City,Male,50,108362,Yes
19770,New York City,Male,49,101102,No
19771,New York City,Male,64,98339,Yes
19772,New York City,Female,40,96511,No
19773,New York City,Male,54,95887,No
19774,New York City,Male,36,97866,Yes
19775,New York City,Female,63,99696,No
19776,New York City,Male,63,99264,No
19777,New York City,Female,30,90173,No
19778,New York City,Male,51,99693,Yes
19779,New York City,Male,39,95091,No
19780,New York City,Male,41,89573,No
19781,New York City,Female,62,80946,No
19782,New York City,Male,29,93838,Yes
19783,New York City,Female,47,89989,No
19784,New York City,Female,63,101413,No
19785,New York City,Male,45,91566,Yes
19786,New York City,Female,39,92426,No
19787,New York City,Male,26,107116,No
19788,New York City,Female,63,96946,No
19789,New York City,Female,55,83375,Yes
19790,New York City,Female,48,108846,No
19791,New York City,Male,54,110746,No
19792,New York City,Male,51,108988,No
19793,New York City,Male,41,112197,No
19794,New York City,Female,48,81480,No
19795,New York City,Female,55,86697,No
19796,New York City,Male,40,114375,No
19797,New York City,Male,57,86764,No
19798,New York City,Male,35,107406,No
19799,New York City,Female,26,107515,No
19800,New York City,Female,26,90927,No
19801,New York City,Male,26,92412,No
19802,New York City,Female,54,98319,No
19803,New York City,Female,41,80162,No
19804,New York City,Male,28,96052,No
19805,New York City,Male,59,117000,No
19806,New York City,Female,31,97014,No
19807,New York City,Male,49,106911,No
19808,New York City,Female,38,92123,No
19809,New York City,Male,38,97471,No
19810,New York City,Male,49,120286,Yes
19811,New York City,Female,32,107526,No
19812,New York City,Male,60,97520,No
19813,New York City,Male,47,102500,No
